transaction_id,amount,transaction_hour,location_risk_score,device_type,merchant_category,failed_login_attempts,velocity_transactions,is_fraud
91,12285,5,0.46,Desktop,Entertainment,0,10,0
92,63804,5,0.02,Desktop,Travel,1,5,1
93,86879,21,0.14,Mobile,Groceries,4,15,1
94,39199,2,0.68,Mobile,Groceries,3,18,1
95,8671,9,0.75,Desktop,Clothing,4,5,1
96,38144,0,0.12,Mobile,Travel,1,15,1
97,51314,13,0.23,Desktop,Travel,5,6,1
98,61328,3,0.1,Mobile,Groceries,2,8,1
99,49084,11,0.43,Mobile,Clothing,5,3,1
100,40874,5,0.13,Mobile,Travel,1,5,0
101,2668,10,0.44,Mobile,Groceries,4,18,1
102,62692,11,0.73,Mobile,Clothing,0,15,1
103,67663,9,0.68,Desktop,Clothing,2,12,1
104,2795,17,0.28,Mobile,Groceries,3,19,0
105,48290,6,0.67,Mobile,Clothing,0,7,0
106,5358,6,0.93,Mobile,Clothing,1,1,1
107,87638,10,0.35,Mobile,Electronics,4,2,1
108,39604,3,0.33,Mobile,Clothing,4,19,1
109,33259,19,0.57,Desktop,Travel,4,13,1
110,14086,0,0.25,Desktop,Clothing,1,18,1
111,61958,12,0.65,Desktop,Travel,2,10,1
112,12766,17,0.83,Mobile,Groceries,3,13,1
113,38760,8,0.46,Mobile,Clothing,0,5,0
114,3661,23,0.68,Desktop,Groceries,1,13,0
115,26954,23,0.65,Mobile,Entertainment,4,9,1
116,64605,8,0.04,Mobile,Clothing,3,1,1
117,52351,22,0.18,Desktop,Groceries,4,6,1
118,22762,8,0.89,Desktop,Entertainment,1,1,1
119,8492,9,0.94,Mobile,Travel,4,18,1
120,30635,1,0.78,Mobile,Travel,1,16,1
121,78703,5,0.92,Mobile,Travel,4,8,1
122,52356,14,0.31,Mobile,Travel,1,6,1
123,89235,2,0.25,Mobile,Travel,4,13,1
124,35322,10,0.38,Mobile,Electronics,3,17,0
125,77473,5,0.06,Mobile,Groceries,3,13,1
126,79675,2,0.81,Desktop,Entertainment,4,10,1
127,96454,23,0.98,Desktop,Entertainment,4,6,1
128,84751,10,0.82,Desktop,Clothing,1,18,1
129,63435,14,0.55,Mobile,Groceries,1,13,1
130,11065,12,0.3,Mobile,Electronics,1,15,0
131,24638,19,0.2,Mobile,Electronics,2,6,0
132,70692,9,0.36,Mobile,Groceries,4,11,1
133,98118,5,0.67,Tablet,Travel,5,8,1
134,8210,14,0.45,Desktop,Travel,4,14,1
135,79409,17,0.93,Mobile,Groceries,4,13,1
136,27366,17,0.85,Mobile,Entertainment,4,2,1
137,53092,6,0.1,Mobile,Travel,1,1,1
138,83048,14,0.13,Mobile,Clothing,1,5,1
139,98906,17,0.68,Mobile,Electronics,2,11,1
140,7010,17,0.23,Mobile,Travel,1,10,0
141,91082,19,0.79,Mobile,Entertainment,5,12,1
142,306,8,0.59,Mobile,Travel,4,10,1
143,87154,23,0.23,Desktop,Travel,4,9,1
144,87997,1,0.48,Mobile,Electronics,0,2,1
145,23519,7,0.41,Desktop,Clothing,1,4,0
146,50736,19,0.87,Mobile,Clothing,0,4,1
147,50115,1,0.03,Desktop,Entertainment,4,6,1
148,54368,10,0.9,Mobile,Groceries,1,12,1
149,88039,6,0.65,Mobile,Groceries,4,7,1
150,18241,5,0.74,Mobile,Groceries,0,19,0
151,80456,9,0.0,Mobile,Entertainment,0,2,1
152,72010,4,0.63,Mobile,Travel,3,19,1
153,56144,10,0.59,Mobile,Clothing,3,4,1
154,67314,0,0.54,Desktop,Clothing,1,3,1
155,33927,1,0.79,Mobile,Travel,1,4,0
156,55920,23,0.56,Mobile,Clothing,1,14,1
157,62723,0,0.86,Mobile,Clothing,1,6,1
158,81834,18,0.23,Mobile,Groceries,1,6,1
159,75550,1,0.81,Desktop,Groceries,1,9,1
160,93526,20,0.18,Tablet,Electronics,5,5,1
161,22399,19,0.81,Mobile,Electronics,1,7,1
162,43685,22,0.94,Mobile,Clothing,0,13,1
163,64144,20,0.34,Desktop,Groceries,0,1,1
164,42657,23,0.53,Mobile,Electronics,0,2,0
165,49180,3,0.66,Desktop,Electronics,5,10,1
166,2793,11,0.08,Tablet,Groceries,4,6,1
167,95103,21,0.49,Desktop,Electronics,2,4,1
168,95359,19,0.36,Mobile,Travel,4,8,1
169,69263,17,0.87,Desktop,Travel,1,14,1
170,26039,0,0.88,Tablet,Groceries,2,16,1
171,49025,0,0.7,Desktop,Groceries,0,15,1
172,43041,23,0.66,Mobile,Electronics,0,13,0
173,21934,13,0.73,Tablet,Clothing,3,12,0
174,18147,3,0.37,Tablet,Entertainment,1,7,0
175,26205,4,0.4,Tablet,Travel,1,15,1
176,75866,10,0.55,Mobile,Travel,3,6,1
177,15807,23,0.94,Desktop,Groceries,4,14,1
178,22076,22,0.72,Desktop,Clothing,3,15,0
179,44362,12,0.55,Mobile,Groceries,5,11,1
180,23876,15,0.77,Mobile,Electronics,1,4,0
181,30180,23,0.37,Desktop,Clothing,5,5,1
182,66942,12,0.73,Desktop,Electronics,5,2,1
183,61473,23,0.41,Desktop,Travel,5,15,1
184,6876,21,0.28,Mobile,Groceries,0,10,0
185,92887,1,0.61,Mobile,Groceries,3,4,1
186,55116,15,0.69,Mobile,Entertainment,2,8,1
187,9574,5,0.46,Desktop,Clothing,0,11,0
188,58153,13,0.57,Mobile,Travel,4,17,1
189,22059,0,0.69,Desktop,Entertainment,0,7,0
190,5630,16,0.77,Desktop,Entertainment,4,11,1
191,94956,10,0.9,Tablet,Groceries,0,10,1
192,3848,18,0.35,Mobile,Clothing,1,1,0
193,97604,2,0.95,Desktop,Groceries,5,8,1
194,98198,10,0.64,Tablet,Clothing,4,5,1
195,13645,4,0.79,Desktop,Entertainment,4,13,1
196,66299,16,0.7,Mobile,Electronics,3,7,1
197,34866,21,0.21,Mobile,Travel,0,11,0
198,73630,6,0.07,Desktop,Entertainment,4,12,1
199,93657,9,0.73,Mobile,Groceries,4,14,1
200,61187,10,0.51,Desktop,Travel,0,12,1
201,95939,2,0.7,Desktop,Entertainment,0,1,1
202,68940,19,0.48,Tablet,Clothing,2,6,1
203,54484,9,0.31,Mobile,Groceries,3,11,1
204,51105,9,0.29,Desktop,Entertainment,4,11,1
205,46676,13,0.73,Mobile,Clothing,0,12,0
206,39453,11,0.28,Mobile,Clothing,4,1,1
207,62103,14,0.71,Mobile,Clothing,2,6,1
208,83311,9,0.38,Desktop,Travel,2,13,1
209,52833,9,0.77,Desktop,Groceries,4,12,1
210,65418,18,0.14,Mobile,Clothing,3,10,1
211,89574,0,0.2,Mobile,Entertainment,1,7,1
212,23764,23,0.69,Desktop,Clothing,4,10,1
213,67272,9,0.56,Desktop,Groceries,2,18,1
214,85716,1,0.2,Desktop,Travel,3,6,1
215,93364,16,0.9,Tablet,Clothing,5,8,1
216,26836,23,0.28,Desktop,Entertainment,0,9,0
217,94309,6,0.42,Mobile,Groceries,5,16,1
218,954,6,0.2,Mobile,Clothing,3,2,0
219,90184,19,0.39,Mobile,Travel,3,11,1
220,38723,8,0.49,Desktop,Electronics,4,19,1
221,7492,21,0.3,Mobile,Entertainment,3,4,0
222,55780,1,0.77,Desktop,Clothing,0,3,1
223,46817,13,0.39,Mobile,Clothing,5,15,1
224,87192,16,0.73,Tablet,Electronics,4,8,1
225,50959,0,0.21,Desktop,Groceries,2,4,1
226,26409,8,0.38,Mobile,Electronics,0,11,0
227,87555,19,0.01,Mobile,Groceries,4,17,1
228,63834,20,0.76,Mobile,Clothing,4,9,1
229,70567,18,0.63,Desktop,Electronics,1,1,1
230,52762,3,0.82,Desktop,Clothing,0,8,1
231,98606,7,0.46,Desktop,Electronics,3,2,1
232,12788,12,0.8,Mobile,Clothing,0,13,0
233,25442,3,0.65,Mobile,Clothing,0,1,0
234,37257,8,0.0,Mobile,Clothing,1,10,0
235,67963,8,0.25,Mobile,Travel,3,12,1
236,52183,21,0.49,Mobile,Electronics,5,11,1
237,65833,17,0.62,Mobile,Travel,1,10,1
238,89145,11,0.07,Mobile,Clothing,1,14,1
239,34798,9,0.71,Desktop,Entertainment,1,14,0
240,80723,10,0.54,Desktop,Groceries,0,8,1
241,22771,6,0.53,Mobile,Electronics,5,11,1
242,25284,8,0.29,Desktop,Electronics,1,9,0
243,93484,5,0.59,Mobile,Groceries,2,15,1
244,42207,18,0.03,Mobile,Travel,3,1,0
245,86302,15,0.06,Tablet,Groceries,5,19,1
246,51763,14,0.73,Mobile,Entertainment,3,18,1
247,15808,6,0.32,Mobile,Clothing,5,12,1
248,92006,15,0.35,Mobile,Groceries,1,8,1
249,49911,4,0.21,Mobile,Groceries,5,5,1
250,2911,15,0.45,Desktop,Clothing,0,13,0
251,56350,0,0.05,Mobile,Electronics,5,17,1
252,72182,18,0.3,Mobile,Entertainment,4,1,1
253,34854,4,0.53,Desktop,Groceries,4,2,1
254,95842,6,0.47,Mobile,Groceries,0,7,1
255,11511,18,1.0,Mobile,Electronics,1,2,1
256,3011,21,0.39,Tablet,Entertainment,1,4,0
257,67370,4,0.39,Mobile,Clothing,2,13,1
258,83863,16,0.5,Desktop,Clothing,4,14,1
259,8780,21,0.19,Tablet,Travel,4,3,1
260,84996,7,0.88,Mobile,Entertainment,3,9,1
261,83979,0,0.57,Mobile,Entertainment,1,18,1
262,71395,1,0.19,Mobile,Groceries,0,16,1
263,88714,14,0.79,Desktop,Travel,1,19,1
264,11211,19,0.03,Mobile,Clothing,1,9,0
265,37604,17,0.98,Desktop,Entertainment,2,19,1
266,1902,10,0.87,Tablet,Entertainment,5,6,1
267,8255,9,0.58,Desktop,Electronics,5,12,1
268,73756,23,0.11,Tablet,Clothing,0,15,1
269,39484,23,0.22,Desktop,Electronics,2,6,0
270,47354,3,0.28,Tablet,Travel,2,5,0
271,22018,4,0.24,Mobile,Entertainment,2,14,1
272,86081,3,0.5,Desktop,Travel,5,19,1
273,60813,12,0.94,Desktop,Electronics,2,18,1
274,30406,12,0.44,Mobile,Clothing,1,13,0
275,16746,17,0.66,Mobile,Entertainment,5,9,1
276,46943,23,0.69,Desktop,Clothing,5,7,1
277,96701,1,0.87,Mobile,Travel,3,12,1
278,90835,15,0.03,Mobile,Groceries,1,9,1
279,16471,0,0.4,Mobile,Clothing,2,2,0
280,77471,18,0.78,Tablet,Clothing,2,3,1
281,2149,8,0.81,Mobile,Clothing,3,5,1
282,31716,2,0.93,Desktop,Entertainment,4,18,1
283,21032,6,0.7,Mobile,Travel,0,14,0
284,29955,9,0.25,Mobile,Travel,2,19,0
285,61534,0,0.51,Mobile,Entertainment,2,5,1
286,72794,9,0.03,Desktop,Clothing,1,10,1
287,43116,20,0.65,Desktop,Clothing,2,16,0
288,7500,8,0.55,Desktop,Groceries,2,1,0
289,42742,14,0.67,Desktop,Clothing,0,4,0
290,15251,14,0.93,Mobile,Electronics,1,5,1
291,51507,2,0.69,Desktop,Clothing,4,11,1
292,66790,4,0.32,Mobile,Groceries,2,14,1
293,4599,8,0.2,Mobile,Electronics,2,11,0
294,6395,21,0.85,Desktop,Groceries,4,8,1
295,59140,8,0.19,Desktop,Groceries,3,1,1
296,12283,22,0.16,Mobile,Travel,4,7,1
297,29399,6,0.21,Tablet,Entertainment,4,13,1
298,12974,23,0.51,Desktop,Groceries,1,6,0
299,32811,22,0.12,Mobile,Clothing,5,4,1
300,5639,11,0.94,Mobile,Travel,4,12,1
301,53451,8,0.97,Tablet,Electronics,1,5,1
302,61367,5,0.97,Desktop,Entertainment,5,5,1
303,48454,22,0.04,Mobile,Travel,4,17,1
304,2657,1,0.95,Desktop,Groceries,2,6,1
305,38460,8,1.0,Mobile,Travel,2,10,1
306,82118,16,0.94,Mobile,Clothing,5,16,1
307,2300,0,0.67,Desktop,Clothing,3,14,1
308,68597,18,0.7,Mobile,Clothing,5,10,1
309,47075,5,0.12,Desktop,Entertainment,4,17,1
310,21457,4,0.87,Tablet,Travel,0,5,1
311,77605,1,0.06,Tablet,Travel,4,2,1
312,2969,8,0.32,Desktop,Groceries,5,4,1
313,61235,13,0.99,Tablet,Electronics,0,18,1
314,50208,3,0.42,Desktop,Clothing,5,8,1
315,94279,3,0.13,Mobile,Electronics,4,14,1
316,90372,20,0.97,Tablet,Electronics,1,13,1
317,38567,14,0.98,Mobile,Clothing,2,7,1
318,23428,7,0.19,Mobile,Clothing,0,9,0
319,91512,3,0.86,Desktop,Groceries,0,4,1
320,86931,15,0.39,Mobile,Entertainment,4,5,1
321,4087,20,0.38,Mobile,Clothing,2,15,0
322,58971,3,0.26,Desktop,Electronics,3,9,1
323,22499,15,0.04,Mobile,Groceries,0,18,0
324,46314,21,0.27,Tablet,Travel,2,14,0
325,99622,11,0.05,Mobile,Groceries,2,15,1
326,86516,15,0.92,Tablet,Clothing,0,1,1
327,70371,18,0.66,Mobile,Clothing,1,19,1
328,44164,7,0.89,Desktop,Entertainment,5,1,1
329,70191,5,0.72,Mobile,Groceries,1,6,1
330,40918,9,0.13,Desktop,Clothing,4,8,1
331,45625,4,0.94,Mobile,Electronics,5,4,1
332,19930,17,0.9,Mobile,Electronics,5,16,1
333,17529,9,0.35,Mobile,Groceries,4,11,1
334,6993,9,0.11,Mobile,Entertainment,2,4,0
335,80009,6,0.7,Tablet,Groceries,0,11,1
336,47433,17,0.73,Mobile,Entertainment,1,10,0
337,3536,0,0.9,Desktop,Electronics,2,17,1
338,74390,6,0.05,Desktop,Clothing,1,9,1
339,76313,20,0.14,Mobile,Travel,0,10,1
340,5995,0,0.6,Mobile,Clothing,1,8,0
341,19838,14,0.62,Mobile,Electronics,3,14,0
342,30846,3,0.03,Mobile,Electronics,4,13,1
343,49477,19,0.4,Mobile,Clothing,5,3,1
344,48504,9,0.58,Mobile,Clothing,1,14,0
345,54145,22,0.74,Mobile,Electronics,0,14,1
346,97988,8,0.32,Desktop,Clothing,0,3,1
347,39890,1,0.48,Desktop,Travel,3,16,1
348,5700,13,0.81,Desktop,Travel,0,10,1
349,94760,15,0.95,Mobile,Groceries,3,4,1
350,93279,0,0.23,Mobile,Travel,2,18,1
351,40864,1,0.25,Mobile,Electronics,1,4,0
352,74643,6,0.94,Mobile,Electronics,0,2,1
353,45814,9,0.4,Mobile,Groceries,4,11,1
354,56935,21,0.72,Tablet,Entertainment,1,15,1
355,73844,19,0.61,Mobile,Groceries,3,11,1
356,56591,0,0.29,Mobile,Entertainment,1,6,1
357,18689,12,0.65,Desktop,Entertainment,1,18,0
358,43584,0,0.66,Desktop,Clothing,0,18,1
359,83089,4,0.59,Mobile,Travel,4,1,1
360,36312,15,0.1,Mobile,Entertainment,2,13,0
361,43625,14,1.0,Desktop,Clothing,4,1,1
362,47302,16,0.4,Mobile,Groceries,5,13,1
363,32735,22,0.64,Desktop,Groceries,3,5,0
364,63308,15,0.89,Desktop,Entertainment,5,17,1
365,33928,12,0.42,Tablet,Clothing,4,16,1
366,18811,10,0.77,Mobile,Electronics,4,18,1
367,3520,16,0.97,Mobile,Travel,3,10,1
368,96852,16,0.36,Mobile,Entertainment,4,17,1
369,401,1,0.41,Mobile,Electronics,2,7,0
370,45336,12,0.91,Desktop,Travel,1,15,1
371,66335,13,0.16,Tablet,Electronics,2,19,1
372,54340,10,0.03,Mobile,Clothing,5,9,1
373,65826,9,0.91,Mobile,Entertainment,1,5,1
374,10592,2,0.82,Mobile,Electronics,1,10,1
375,6202,16,0.97,Mobile,Electronics,4,13,1
376,50436,14,0.06,Mobile,Electronics,1,1,1
377,85414,8,0.16,Mobile,Entertainment,3,6,1
378,26741,9,0.11,Desktop,Clothing,2,3,0
379,34684,7,0.68,Mobile,Clothing,1,17,0
380,32845,20,0.61,Mobile,Electronics,4,12,1
381,23193,12,0.36,Mobile,Clothing,4,11,1
382,66205,17,0.06,Mobile,Travel,4,8,1
383,51985,4,0.64,Mobile,Clothing,0,12,1
384,36731,5,0.57,Desktop,Electronics,2,11,0
385,73091,16,0.11,Tablet,Travel,4,5,1
386,4114,10,0.91,Mobile,Entertainment,3,8,1
387,11193,19,0.2,Desktop,Groceries,4,12,1
388,18170,15,0.74,Mobile,Clothing,0,6,0
389,35877,8,0.89,Mobile,Travel,2,9,1
390,57058,1,0.58,Desktop,Groceries,1,17,1
391,82174,4,0.25,Mobile,Entertainment,2,2,1
392,10829,0,0.31,Mobile,Groceries,1,1,0
393,99813,3,0.89,Mobile,Entertainment,1,18,1
394,45117,3,0.3,Mobile,Electronics,4,3,1
395,66420,21,0.75,Mobile,Electronics,5,14,1
396,27851,2,0.99,Mobile,Entertainment,3,13,1
397,78169,8,1.0,Mobile,Groceries,3,2,1
398,54848,21,0.53,Desktop,Clothing,5,4,1
399,5901,22,0.83,Mobile,Groceries,4,15,1
400,19290,11,0.99,Mobile,Groceries,0,5,1
401,49789,9,0.37,Mobile,Clothing,1,10,0
402,51093,1,0.25,Desktop,Groceries,5,9,1
403,29692,10,0.11,Mobile,Groceries,3,18,0
404,10747,9,0.14,Desktop,Travel,2,3,0
405,8816,21,0.85,Mobile,Entertainment,0,14,1
406,88991,5,0.59,Tablet,Electronics,4,10,1
407,87645,17,0.87,Mobile,Entertainment,0,17,1
408,90012,1,0.79,Mobile,Groceries,3,15,1
409,70416,1,0.67,Mobile,Clothing,5,18,1
410,2468,9,0.61,Mobile,Clothing,4,17,1
411,77675,15,0.05,Desktop,Electronics,3,3,1
412,6755,11,0.87,Mobile,Electronics,1,16,1
413,70131,0,0.42,Mobile,Electronics,0,19,1
414,76529,20,0.56,Desktop,Clothing,5,13,1
415,91183,7,0.02,Tablet,Groceries,1,17,1
416,88022,15,0.94,Tablet,Electronics,2,16,1
417,55866,17,0.9,Mobile,Electronics,1,9,1
418,13503,12,0.54,Mobile,Clothing,0,12,0
419,32197,14,0.58,Mobile,Groceries,2,3,0
420,78757,20,0.71,Desktop,Electronics,3,9,1
421,11066,11,0.26,Desktop,Groceries,5,16,1
422,99257,7,0.22,Tablet,Travel,2,5,1
423,93948,9,0.67,Mobile,Electronics,0,19,1
424,53021,13,0.1,Desktop,Electronics,4,13,1
425,49826,4,0.45,Desktop,Clothing,2,2,0
426,50400,17,0.49,Mobile,Travel,3,19,1
427,22777,18,0.38,Desktop,Travel,2,18,0
428,55709,14,0.19,Mobile,Travel,5,12,1
429,96925,5,0.36,Desktop,Entertainment,1,18,1
430,56761,10,0.34,Tablet,Clothing,4,5,1
431,31124,20,0.5,Mobile,Clothing,0,8,0
432,70413,10,0.67,Desktop,Electronics,4,16,1
433,53106,19,0.97,Mobile,Clothing,1,2,1
434,95385,19,0.14,Desktop,Electronics,4,13,1
435,15438,20,0.87,Desktop,Electronics,1,1,1
436,68127,17,0.28,Tablet,Entertainment,5,5,1
437,92872,17,0.59,Desktop,Clothing,2,12,1
438,80235,9,0.55,Mobile,Clothing,0,4,1
439,19608,1,0.56,Mobile,Entertainment,1,5,0
440,3151,8,0.72,Desktop,Entertainment,1,11,0
441,48847,13,0.38,Mobile,Clothing,2,10,0
442,87242,18,0.32,Desktop,Clothing,1,8,1
443,87335,9,0.85,Mobile,Electronics,0,9,1
444,54121,22,0.22,Desktop,Groceries,3,7,1
445,66512,3,0.18,Mobile,Electronics,4,14,1
446,58435,5,0.02,Tablet,Travel,5,11,1
447,56279,13,0.21,Desktop,Travel,5,18,1
448,32193,3,0.52,Mobile,Groceries,1,18,1
449,69778,14,0.54,Mobile,Entertainment,4,8,1
450,80838,15,0.25,Tablet,Travel,5,2,1
451,39834,6,0.07,Desktop,Entertainment,4,7,1
452,72715,16,0.74,Mobile,Entertainment,5,5,1
453,73623,18,0.76,Tablet,Electronics,3,14,1
454,94576,18,1.0,Mobile,Entertainment,1,14,1
455,17119,16,0.9,Mobile,Groceries,0,3,1
456,83713,5,0.93,Desktop,Electronics,1,6,1
457,91894,10,0.8,Mobile,Groceries,4,17,1
458,86772,15,0.62,Mobile,Entertainment,2,8,1
459,73947,7,0.13,Desktop,Travel,3,3,1
460,82850,10,0.62,Desktop,Entertainment,0,15,1
461,79734,6,0.06,Mobile,Groceries,0,5,1
462,28351,23,0.89,Desktop,Clothing,4,19,1
463,26045,21,0.48,Mobile,Clothing,0,2,0
464,90952,18,0.7,Mobile,Travel,4,8,1
465,32317,9,0.05,Desktop,Groceries,0,9,0
466,8408,8,0.53,Mobile,Travel,0,5,0
467,6049,3,0.3,Desktop,Electronics,5,3,1
468,52090,22,0.28,Desktop,Entertainment,5,12,1
469,1250,14,0.39,Desktop,Electronics,4,3,1
470,89580,12,0.0,Mobile,Clothing,3,19,1
471,74840,1,0.47,Mobile,Entertainment,0,16,1
472,66717,1,0.49,Mobile,Electronics,1,16,1
473,94941,15,0.86,Desktop,Clothing,2,1,1
474,16996,8,0.45,Mobile,Electronics,5,17,1
475,46275,12,0.36,Mobile,Entertainment,4,3,1
476,7905,2,0.99,Desktop,Electronics,0,17,1
477,5337,8,0.57,Desktop,Entertainment,5,17,1
478,20156,12,0.47,Mobile,Electronics,3,16,0
479,45643,20,0.5,Tablet,Travel,5,6,1
480,56656,21,0.81,Mobile,Electronics,1,18,1
481,3443,1,0.34,Mobile,Electronics,4,14,1
482,13600,7,0.39,Mobile,Travel,1,8,0
483,53322,8,0.76,Mobile,Clothing,5,19,1
484,29475,15,0.07,Tablet,Entertainment,2,9,0
485,9762,1,0.87,Mobile,Groceries,3,18,1
486,17064,5,0.43,Mobile,Clothing,4,1,1
487,59738,21,0.58,Desktop,Entertainment,4,17,1
488,73766,7,0.76,Desktop,Electronics,0,4,1
489,85167,4,0.27,Tablet,Clothing,1,16,1
490,67315,8,0.89,Mobile,Electronics,4,12,1
491,69142,0,0.98,Mobile,Clothing,1,13,1
492,13384,8,0.49,Mobile,Clothing,2,2,0
493,72889,9,0.94,Desktop,Groceries,0,12,1
494,84764,22,0.0,Desktop,Travel,2,10,1
495,93568,3,0.89,Tablet,Clothing,0,15,1
496,61489,2,0.31,Desktop,Electronics,0,5,1
497,9535,9,0.31,Tablet,Groceries,1,1,0
498,54440,14,0.23,Tablet,Clothing,5,8,1
499,44178,10,0.32,Mobile,Travel,0,18,0
500,78932,13,0.21,Mobile,Electronics,2,6,1
501,51393,5,0.91,Mobile,Groceries,5,1,1
502,96081,11,0.9,Mobile,Entertainment,2,14,1
503,78881,12,0.1,Mobile,Travel,5,10,1
504,60503,16,0.14,Mobile,Entertainment,2,4,1
505,29224,15,0.86,Mobile,Entertainment,1,18,1
506,95535,2,0.4,Mobile,Groceries,1,19,1
507,44019,1,0.17,Mobile,Groceries,3,8,0
508,35347,10,0.51,Mobile,Groceries,4,12,1
509,94858,8,0.42,Mobile,Entertainment,3,10,1
510,91847,2,0.22,Mobile,Electronics,3,13,1
511,62852,17,0.72,Mobile,Groceries,0,7,1
512,56673,19,0.63,Desktop,Travel,0,17,1
513,59201,14,0.1,Mobile,Groceries,3,12,1
514,26746,13,0.93,Desktop,Groceries,4,6,1
